"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 21:59:44 GMT 2024","Thu Aug 22 21:59:51 GMT 2024","7643","Microsoft Edge","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Thu Aug 22 21:59:45 GMT 2024","Thu Aug 22 21:59:58 GMT 2024","12661","Microsoft Edge","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Thu Aug 22 21:56:09 GMT 2024","Thu Aug 22 21:56:38 GMT 2024","28393","Firefox","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"passed","Thu Aug 22 21:55:48 GMT 2024","Thu Aug 22 21:56:05 GMT 2024","17329","Firefox","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Thu Aug 22 21:57:04 GMT 2024","Thu Aug 22 21:57:27 GMT 2024","23204","Webkit","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Thu Aug 22 21:59:08 GMT 2024","Thu Aug 22 21:59:15 GMT 2024","6872","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Thu Aug 22 21:58:22 GMT 2024","Thu Aug 22 21:58:47 GMT 2024","24702","Webkit","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Thu Aug 22 22:00:04 GMT 2024","Thu Aug 22 22:00:22 GMT 2024","17362","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Thu Aug 22 21:58:28 GMT 2024","Thu Aug 22 21:58:48 GMT 2024","20094","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Thu Aug 22 21:55:09 GMT 2024","Thu Aug 22 21:55:27 GMT 2024","17736","Firefox","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Thu Aug 22 21:59:57 GMT 2024","Thu Aug 22 22:00:18 GMT 2024","21281","Microsoft Edge","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"passed","Thu Aug 22 21:56:33 GMT 2024","Thu Aug 22 21:57:03 GMT 2024","30690","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search Products and Verify Cart After Login",""
"passed","Thu Aug 22 21:54:05 GMT 2024","Thu Aug 22 21:54:15 GMT 2024","10318","Chromium","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Thu Aug 22 21:56:45 GMT 2024","Thu Aug 22 21:56:57 GMT 2024","12258","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Thu Aug 22 21:58:41 GMT 2024","Thu Aug 22 21:58:51 GMT 2024","9965","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Thu Aug 22 21:58:48 GMT 2024","Thu Aug 22 21:58:57 GMT 2024","9320","Webkit","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Thu Aug 22 21:54:05 GMT 2024","Thu Aug 22 21:54:21 GMT 2024","16593","Chromium","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Thu Aug 22 21:58:55 GMT 2024","Thu Aug 22 21:59:13 GMT 2024","17541","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Thu Aug 22 21:57:36 GMT 2024","Thu Aug 22 21:57:57 GMT 2024","21134","Webkit","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Thu Aug 22 21:54:32 GMT 2024","Thu Aug 22 21:54:45 GMT 2024","13044","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"skipped","Thu Aug 22 21:54:18 GMT 2024","Thu Aug 22 21:54:18 GMT 2024","0","Chromium","contact_us.spec.ts","","","","Contact Us",""
"passed","Thu Aug 22 22:00:22 GMT 2024","Thu Aug 22 22:00:28 GMT 2024","5488","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Thu Aug 22 21:54:45 GMT 2024","Thu Aug 22 21:55:00 GMT 2024","14616","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Thu Aug 22 21:57:29 GMT 2024","Thu Aug 22 21:57:40 GMT 2024","11387","Webkit","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Thu Aug 22 21:56:57 GMT 2024","Thu Aug 22 21:57:21 GMT 2024","23947","Firefox","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Thu Aug 22 21:59:18 GMT 2024","Thu Aug 22 21:59:45 GMT 2024","27238","Microsoft Edge","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Thu Aug 22 21:54:45 GMT 2024","Thu Aug 22 21:55:02 GMT 2024","17238","Chromium","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"skipped","Thu Aug 22 21:55:29 GMT 2024","Thu Aug 22 21:55:29 GMT 2024","0","Firefox","contact_us.spec.ts","","","","Contact Us",""
"passed","Thu Aug 22 21:55:28 GMT 2024","Thu Aug 22 21:56:09 GMT 2024","41266","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Thu Aug 22 21:54:49 GMT 2024","Thu Aug 22 21:54:57 GMT 2024","8299","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Thu Aug 22 21:56:19 GMT 2024","Thu Aug 22 21:56:45 GMT 2024","26192","Firefox","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Thu Aug 22 21:57:05 GMT 2024","Thu Aug 22 21:57:24 GMT 2024","19141","Webkit","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Thu Aug 22 21:55:52 GMT 2024","Thu Aug 22 21:56:56 GMT 2024","64716","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
