"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3507","Verify Product quantity in Cart","Chromium","Mon May 11 04:51:16 UTC 2026","passed","Mon May 11 04:51:19 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","13244","Register User with existing email","Webkit","Mon May 11 04:53:57 UTC 2026","passed","Mon May 11 04:54:10 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","21673","Place Order: Login before Checkout","Firefox","Mon May 11 04:52:07 UTC 2026","passed","Mon May 11 04:52:28 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","13533","Search Products and Verify Cart After Login","Firefox","Mon May 11 04:52:32 UTC 2026","passed","Mon May 11 04:52:45 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","3583","Search for a Product","Firefox","Mon May 11 04:52:28 UTC 2026","passed","Mon May 11 04:52:32 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","2494","Verify All Products and product detail page","Chromium","Mon May 11 04:51:39 UTC 2026","passed","Mon May 11 04:51:41 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","7900","Add Products in Cart","Webkit","Mon May 11 04:52:49 UTC 2026","passed","Mon May 11 04:52:57 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","2293","Login User with incorrect email and password","Firefox","Mon May 11 04:52:40 UTC 2026","passed","Mon May 11 04:52:42 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","19500","Place Order: Register while Checkout","Firefox","Mon May 11 04:52:02 UTC 2026","passed","Mon May 11 04:52:22 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","38455","Place Order: Login before Checkout","Webkit","Mon May 11 04:53:00 UTC 2026","passed","Mon May 11 04:53:39 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","4903","Verify Subscription in home page","Webkit","Mon May 11 04:53:27 UTC 2026","passed","Mon May 11 04:53:32 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","4181","Register User with existing email","Chromium","Mon May 11 04:51:52 UTC 2026","passed","Mon May 11 04:51:56 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","7246","Remove Products From Cart","Firefox","Mon May 11 04:51:58 UTC 2026","passed","Mon May 11 04:52:06 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","2294","Search for a Product","Chromium","Mon May 11 04:51:40 UTC 2026","passed","Mon May 11 04:51:42 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","15223","Logout User","Webkit","Mon May 11 04:53:56 UTC 2026","passed","Mon May 11 04:54:11 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","2495","Submit the contact form successfully","Chromium","Mon May 11 04:51:35 UTC 2026","passed","Mon May 11 04:51:38 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","1982","Verify Subscription in home page","Chromium","Mon May 11 04:51:38 UTC 2026","passed","Mon May 11 04:51:40 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
